物品名称,文件类型,稀有度,等级,价格,物理攻击,魔法攻击,装备类型,武器类型,可用职业,技能增强,基础说明,文件路径
瑞鼠律动红色腰饰 (鬼剑士),equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530088.equ
瑞鼠律动蓝色腰饰 (鬼剑士),equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530089.equ
神器克隆装扮腰部 (鬼剑士),equipment,3,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530110.equ
夜刀神斩苍长剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530130.equ
夜刀神斩冥长剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530131.equ
夜刀神斩炎长剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530132.equ
夜刀神斩梦长剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\401530133.equ
棕色幽灵猎人飞剑腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abelt_41585.equ
红色幽灵猎人飞剑腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abelt_41586.equ
紫色幽灵猎人飞剑腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abelt_41587.equ
蓝色幽灵猎人飞剑腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abelt_41588.equ
阿拉德儒生佩剑[A型],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abelt_41599.equ
阿拉德儒生佩剑[B型],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abelt_41600.equ
黑色剑斗士腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abelt_bkswordman.equ
褐色剑斗士腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abelt_brswordman.equ
沙褐色剑斗士腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abelt_sdbrswordman.equ
白色剑斗士腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abelt_wtswordman.equ
剑斗士青铜系扣腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abuckle_brswordman.equ
剑斗士黄金系扣腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abuckle_gdswordman.equ
剑斗士白银系扣腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abuckle_slswordman.equ
剑斗士钢铁系扣腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\abuckle_stswordman.equ
深灰色铜制巨剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\agsword_dpgrbrass.equ
灰褐色铜制巨剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\agsword_gybrbrass.equ
浅灰色铜制巨剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\agsword_ltgybrass.equ
黄色铜制巨剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\agsword_ylbrass.equ
黑蓝色悬腰剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\aswd_bkblthree.equ
黑色悬腰剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\aswd_bkthree.equ
褐色悬腰剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\aswd_brthree.equ
紫罗兰色悬腰剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\aswd_vlthree.equ
克隆装扮腰部 (鬼剑士),equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\awaist_clonesw.equ
稀有克隆装扮腰部 (鬼剑士),equipment,2,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\awaist_rareclonesw.equ
黄金克隆装扮腰部 (鬼剑士),equipment,4,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\awaist_rareclonesw_new.equ
小王子的佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\aweapon_arrogantprince.equ
极诣·剑影幻锋腰带[款式1],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_202330074.equ
极诣·剑影幻夜腰带[款式2],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_202330075.equ
极诣·剑影幻魂腰带[款式3],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_202330076.equ
极诣·剑影幻鸣腰带[款式4],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_202330077.equ
极诣·剑影幻舞腰带[银色款],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_202330078.equ
极诣·剑影幻剑腰带[金色款],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_202330079.equ
极诣·剑魂剑意腰饰[款式1],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_242330074.equ
极诣·剑魂剑气腰饰[款式2],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_242330075.equ
极诣·剑魂剑心腰饰[款式3],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_242330076.equ
极诣·剑魂剑胆腰饰[款式4],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_242330077.equ
极诣·剑魂剑诗腰饰[银色款],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_242330078.equ
极诣·剑魂剑星腰饰[金色款],equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_2023_242330079.equ
剑圣黄色腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_1st_awakening_avatar_swordman_belt_101530653.equ
剑圣红色腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_1st_awakening_avatar_swordman_belt_101530654.equ
剑圣金色腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_1st_awakening_avatar_swordman_belt_101530655.equ
剑圣浅紫腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_1st_awakening_avatar_swordman_belt_101530656.equ
黄色小熊公仔 (鬼剑),equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_avatar_swordman_belt_2680111.equ
褐色小熊公仔 (鬼剑),equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_avatar_swordman_belt_2680112.equ
白色小熊公仔 (鬼剑),equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_avatar_swordman_belt_2680113.equ
黑色小熊公仔 (鬼剑),equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_avatar_swordman_belt_2680114.equ
青绿色横纹剑士汗巾,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_avatar_swordman_belt_2684764.equ
紫色横纹剑士汗巾,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_avatar_swordman_belt_2684765.equ
灰色横纹剑士汗巾,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_avatar_swordman_belt_2684766.equ
红色横纹剑士汗巾,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_avatar_swordman_belt_2684767.equ
丹青回龙夕照长剑,equipment,2,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_rare_avatar_swordman_belt_101530518.equ
流金回龙夕照长剑,equipment,2,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_rare_avatar_swordman_belt_101530519.equ
混沌青龙之血佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_101530500.equ
流光青龙之血佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_101530501.equ
银色圣剑骑士腰甲,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_101530578.equ
金色圣剑骑士腰甲,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_101530579.equ
蓝色圣剑骑士腰甲,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_101530580.equ
黑色圣剑骑士腰甲,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_101530581.equ
海军风情白色剑鞘,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_101530603.equ
海军风情黑色剑鞘,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_101530604.equ
海军风情红色剑鞘,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_101530605.equ
海军风情绿色剑鞘,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_101530606.equ
剑客的红色勇猛腰甲,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684800.equ
剑客的黑色勇猛腰甲,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684801.equ
剑客的蓝色勇猛腰甲,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684802.equ
剑客的紫色勇猛腰甲,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684803.equ
褐色猎鹰风暴腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684817.equ
黑色猎鹰风暴腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684818.equ
蓝色猎鹰风暴腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684819.equ
紫色猎鹰风暴腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684820.equ
邪龙斯皮兹的紫色佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684833.equ
邪龙斯皮兹的红色佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684834.equ
黑色鬼影骑士佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684873.equ
棕色鬼影骑士佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684874.equ
蓝色鬼影骑士佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684875.equ
青色鬼影骑士佩剑,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_2684876.equ
莱因哈鲁特的龙剑雷德,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_special_avatar_swordman_belt_401530019.equ
银色追魂剑客腰带,equipment,0,1,0,0,0,waist avatar,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\avatar\belt\chn_equ_upper_avatar_swordman_belt_101530486.equ
